item_id,user_id,region,city,parent_category_name,category_name,param_1,param_2,param_3,title,description,price,item_seq_number,activation_date,user_type,image,image_top_1,deal_probability
000445bedb6a,1cbd1395ee5b,Ростовская область,Волгодонск,Для дома и дачи,Ремонт и строительство,Стройматериалы,,,Продам муфту,,700.0,109,2017-03-18,Company,0a91edb5475b48f7495e650638a5f1a4787081f24013ce541ea317867d5ece2e,1216.0,0.0
001107dfc834,ae2259315d2e,Ставропольский край,Невинномысск,Личные вещи,"Одежда, обувь, аксессуары",Женская одежда,Другое,,Продается палантин для весеннего сезона цветной,Продается палантин-шарф для весеннего сезона цветной полосками. Абсолютно новый.,700.0,48,2017-03-20,Private,b5be3906d886c1efab17f0752ce36988bb9050b5a336de9030caa215b6db0bc5,231.0,0.0
00157b436957,92fe3857a1ab,Татарстан,Казань,Услуги,Предложение услуг,"Реклама, полиграфия","Полиграфия, дизайн",,Объемные буквы (вывеска),"Изготовим  за 3 дня ./
Объемные буквы (световые)/
короба Световые/
сделаем предварительные расчеты /
изготовим дизайн вашей наружной вывески /
Акрилайты /
Согласуем с Администрацией города !",300.0,4,2017-03-23,Private,2f8882e1e94f9c76e5ae33876e0f080ae3d8131af74c73424f356019dfc2c392,1629.0,0.8
00272295d2fc,1d86b1407166,Ставропольский край,Левокумское,Личные вещи,"Одежда, обувь, аксессуары",Женская одежда,Платья и юбки,40–42 (XS),Платье женское,,800.0,17,2017-03-17,Private,89720fa82d88ec651a1b828126bbccdab52130ac4d032a121517214832e29b83,516.0,0.0
003b388c44af,862de19ddb23,Свердловская область,Екатеринбург,Бытовая электроника,Настольные компьютеры,,,,Системный блок компьютера на базе pentium 4,"Продам системный блок компьютера на базе pentium 4 3 ггц, 1 гигабайт оперативки, видео/аудио встроенное, жесткий диск на 80 гигабайт. В придачу отдаю еще 2 жестких диска  - на 120 и на 60 гигов.",1500.0,25,2017-03-24,Private,308da6601ae56a2e49ba2d6dc774646e4ae29a1bb1304fab70d7ad47acac4cd7,2491.0,0.76786
00431b47a925,d093643f2421,Свердловская область,Екатеринбург,Личные вещи,Часы и украшения,Часы,,,"Часы наручные, мужские!!!",Торг уместен!,1000.0,5,2017-03-15,Private,c27706fcb6f50f352983873efc38220d3581be6fe96c657963ee26fb754de2ed,37.0,0.18269000000000002
005639020862,191c186c02f0,Нижегородская область,Нижний Новгород,Личные вещи,"Одежда, обувь, аксессуары",Мужская одежда,Обувь,43,Кроссовки адидас все размеры,"⚠⚠В НАЛИЧИИ!!! ⚠⚠⚠/
Adidas Hamburg замшевые/
цена  всего 900руб/
41 26 см/
42 27/
43-27,5 см/
44-28,5/
45 29 см/
46-29,5",900.0,121,2017-03-28,Company,3450dd29e54950d72214b5dcd4a37816bab992726319b61f69ab6417e33546c3,486.0,0.27307
005ac2830520,c570333c622d,Алтайский край,Барнаул,Бытовая электроника,Ноутбуки,,,,Packard bell ноутбук в отличном состоянии / кред," /
/
Предоставляем КРЕДИТ на любую электронику /
 /
В продаже ноутбук Packard bell /
/
С потрясающим качеством звука и изображения./
 /
Быстрая скорость работы и загрузки/
 /
Строгий дизайн./
/
Надежный корпус. Стильный дизайн, ультратонкий /
 /
▬ ★ Экран 15,6/
 /
▬ ★ Процессор AMD E-Series E1-2100 1,4 ггц/
 /
▬ ★ Оперативная память 2 Гб/
 /
▬ ★ Жесткий диск 500 Гб/
 /
▬ ★ Видео AMD Radeon HD 8230/
 /
▬ ★ DVD-RW/ Wi-Fi/ BT / HDMI / веб камера/
 /
▬ ★ ▬ ★▬ ★ ▬ ★▬ ★ ▬ ★▬ ★ ▬ /
 /
Доставка по Барнаулу БЕСПЛАТНО!/
 /
Наличный и безналичный расчет/
/
Ежедневно с 9-00 до 23-00",16000.0,809,2017-03-21,Shop,a38d968490e58de7ec8d07deed096f4808fff883a896b89b1a7f5eb5553e38ab,2963.0,0.0
007821145b6a,37b40436f6ca,Башкортостан,Салават,Для дома и дачи,Мебель и интерьер,"Кровати, диваны и кресла",,,Раскладной диван,"Диван раздвижной /
Ширина с подлакотниками 134см/
Ширина лежака 100см/
Длина лежака 185/
Есть 2 отдела под постельное белье/
Диван мягкий, удобный./
Звонить с 14-00 до 20-00",1500.0,6,2017-03-22,Private,c3e2be67e90bfe0040e58af42cd54990c6d5cc2505cd345020b3c5d434d402f8,1431.0,0.86521
009e66ea7063,4106a6a05d15,Красноярский край,Ачинск,Личные вещи,Детская одежда и обувь,Для девочек,"Шапки, варежки, шарфы",,Шапочки,Продам или отдам за шоколадное яйцо каждая,100.0,118,2017-03-28,Private,872e31eeef9edda175d8c9c0053c73127de9f3655cf200bd9f026543f3fd753e,2716.0,0.0
