item_id,russian_title,english_title
000445bedb6a,Продам муфту,Sell clutch
001107dfc834,Продается палантин для весеннего сезона цветной,Sold Palatine for the spring season color
00157b436957,Объемные буквы (вывеска),Large letters (sign)
00272295d2fc,Платье женское,Women's dress
003b388c44af,Системный блок компьютера на базе pentium 4,The system unit of a computer based on pentium 4
00431b47a925,"Часы наручные, мужские!!!","Wristwatches, men!!!"
005639020862,Кроссовки адидас все размеры,Adidas sneakers all sizes
005ac2830520,Packard bell ноутбук в отличном состоянии / кред,Packard bell laptop in excellent condition / credit
007821145b6a,Раскладной диван,Folding sofa
009e66ea7063,Шапочки,Caps
00b7e645be73,Куртка демисезонная,Medical suit size 42 to 62
00bf68b0fb29,Цемент 212р. мешок в подарок,Cement 212r. bag as a gift
00c1bd61ce1b,"Студия, 27.4 м², 7/16 эт.","Studio, 27.4 m2, 7/16 FL."
00d292c92f8d,Ноутбук Samsung NP355v5x,Laptop Samsung NP355v5x
00d5873f9695,"LADA Priora, 2011","LADA Priora, 2011"
00e566238ee8,iPhone 6 16gb,iPhone 6 16gb
00ef14770690,Костюм,Suit
00f47c080c04,Пальто жилет бу,Coat vest BU
00fedb2ae612,Prestigio muzu f3,Prestigio muzu f3
0106679cf24c,Ботинки мужские,Men's shoes
01071a9cdc8e,Вечернее платье,Evening dress
01129dddbda0,Электросковорода Волшебница-4,Elektrokovina Sorceress-4
01134b9bf7df,Платье черно-белое,Dress black and white
0119d01aeb0a,"Металлопрокат от 0,01т",Rolled metal products from 0.01 t
013a78026a61,Chanel coco mademoiselle,Chanel coco mademoiselle
0143eb60523c,Туника,Tunic
014d34d30a68,Ботинки,Boots
0163a754613a,Кружка Оловянная примерно 70х,Mug Pewter about the 70s
016c39c4f9b6,Apple a 1152 Mighty Mouse White USB,"A 1152, Apple Mighty Mouse White USB"
017e33431e79,"Hyundai Solaris, 2013","Hyundai Solaris, 2013"
0199e8646d1c,Кресло икеа,IKEA armchair
019c36e4ceea,Гель лаки,Gel varnishes
01a0525a8165,Телевизор Philips 4100 LED TV,Philips TV 4100 LED TV
01bf9540881f,Штаны Для Беременных,Maternity Pants
01c5ccea2be6,"ГАЗ Соболь 2217, 2003","GAZ 2217 Sobol', 2003"
01f9800fd17c,Пакетированные семена от производителей России,Packaged seeds from Russian producers
02026c1f98b1,Сделаем ремонт,Turtleneck
0202df64a422,Asus M50V (гарантия),Asus M50V (warranty)
02125873a107,Платья для девочки,Dresses for girls
021874608e12,Боксерские перчатки,Boxing glove
021b6c404db4,Киндер Чоппер,Kinder Chopper
0234e42d782e,Педикюрное кресло Профи Электрическая регулировка,Pedicure chair Pro Electric adjustment
023bb6b7a4a4,Сарафан для беременных,Maternity sundress
025d8303eb20,Женские брендовые свитшоты,Women's branded sweatshirts
026544e54176,"ВАЗ 2109, 1997","VAZ 2109, 1997"
0270499113b8,Монета 2 копейки 1813 года,Coin 2 kopecks 1813
02a39d062563,"Пинетки, носки, царапки","Booties, socks, scratches"
02bfc637bcfe,Платье,Dress
02c798bb5ade,Костюм,Suit
0306aa6fee75,Пальто,Concrete vibrator
030cb6ef1825,Пальто,Coat
033894db75fa,Чехол силикон Samsung A3 A320 2017 прозрачный 2,Silicone case Samsung A3 A320 2017 transparent 2
0366d7b47122,"Iveco Daily, 2011","Iveco Daily, 2011"
0368674b23ef,Пиленальный столик,Children's shoes
0383f0db68ce,"1-к квартира, 40.4 м², 16/17 эт.","1-room apartment, 40.4 m2, 16/17 FL."
03950f03b7e5,"Toyota Corolla, 1996","Toyota Corolla, 1996"
039e0209addc,Велосипед для девочки,Bike for girl
03a92cf5f849,Samsung galaxy A5 2015,Samsung galaxy A5 2015
03b496006e6c,Летние джинсы,Boots on now R-R 25-26
03b7d5665c97,Юбка Nike,Nike Skirt
03c4c6f0f469,Saeco Talea Giro,Saeco Talea Giro
03c5cce7c62d,Платье,Dress
03d09bc96666,Куртка,Jacket
03e89026e4cc,"Билайн Таб Фаст, материнская плата",Beeline Tab Fast motherboard
040b02d6c0b5,Новая палетка теней ColourPop,Bath + slide for swimming
041da9f0372f,Серебряная цепочка 925,925 sterling silver chain
0420705519da,Свадебные аксессуары ручной работы,Handmade wedding accessories
0447a60dd713,"2-к квартира, 38 м², 3/5 эт.","2-room apartment, 38 m2, 3/5 floor."
044f4062393b,Asus в отличном состоянии,Asus in excellent condition
0454fb66dfd8,Продам смартфон Lenovo,Sell smartphone Lenovo
045e1f2bbc1e,Джинсовая юбка,Denim skirt
046de2d2f3f3,Подарочный набор для новорожденного,Newborn baby gift set
04866bdf89d4,Перфоратор Makita HP2051,Punch Makita HP2051
04bd3b039081,Драцена,Will sell cupboard
04d3d14f4463,Грузоперевозки,Trucking industry
04d528ef81fa,Продаю боди,Sell body
04f1904778df,"2-к квартира, 50 м², 3/11 эт.","2-room apartment, 50 m2, 3/11 FL."
051aee1b983c,Кроватка с поперечным маятником,Cot with a pendulum
05217097f09e,"3-к квартира, 64 м², 2/2 эт.","3-room apartment, 64 m2, 2/2 FL."
052dfc06b709,Велосипед,Bike
0534c0617ba2,Защитное стекло Samsung (полное покрытие 3D) Цветн,Samsung protective glass (full 3D coating) Color
054cbcce86e4,Рубашка,Shirt
056a87034216,Куртка кожа натуральная пр-во Италия,Jacket leather natural made in Italy
057b063aedd4,iPhone 4s (Абсолютно новый 8 гб),iPhone 4s (Brand new 8GB)
058173b95475,"Холодильная установка и короб, под цветы. 2/2/1м","Refrigeration unit and box, under the flowers. 2/2/1m"
059692254817,Парка,A cast iron tub b/170х70
05a92c3194f5,THE beatles love songs,THE beatles love songs
05aba27828d7,Синие сапоги (осень-весна),Blue boots (autumn-spring)
05b9a3426ed0,Сапоги кожаные с натуральным мехом,Leather boots with natural fur
05d55a3db11d,Кролики 5штук,Rabbits 5piece
06286bee680a,"Ремонт, настройка пк. Установка ос","Repair, PC setup. OS installation"
06310797ea90,50 копеек 1814г,50 kopeks 1814
0638ae569d8a,Холодильник Aristotle No Frost,Aristotle Fridge No Frost
0638e18b3170,Бройлеры кобб суточные,Cobb broilers daily
063c44b673dd,Сапоги с широким голенищем р.39,Boots with wide shaft p. 39
063cf213340f,Установка дверей,Installation of doors
065e0d57c272,Опилки сосновые для огорода и подсобного хозяйства,Sawdust pine for a kitchen garden and subsidiary farm
067aeb3e07ed,Аквалайзерные колонки,Scuba speakers
067f6dec0cb1,"2-к квартира, 20 м², 3/3 эт.","2-room apartment, 20 m2, 3/3 FL."
06821ccd8db3,Платье,Dress
0696bf2600f7,"1-к квартира, 41 м², 1/5 эт.","1-room apartment, 41 m2, 1/5 floor."
06a0b4468201,Детское платье белое,Baby dress white
06b48abd4e49,Простой пк,Simple PC
06c5f3e16fd7,Мегафон логин 2 и нокиа новый,Megaphone login 2 and Nokia new
06c6f49df67a,Мальчики сфинксы,Boys sphinxes
0702a7a42f2f,Белая майка,White t-shirt
07066a4f24cb,"Холодильник Indesit, б/у","Refrigerator Samsung, used"
07076acfeec1,Демисезонная куртка для мальчика,Demi jacket for a boy
07247651cab7,Nokia 5228,Nokia 5228
072ba166b41a,Дача 20 м² на участке 4 сот.,Cottage of 20 m2 on a plot of 4 hundred.
