russian_city_name,english_city_name
Екатеринбург,Ekaterinburg
Самара,Samara
Ростов-на-Дону,Rostov-na-Donu
Набережные Челны,Naberezhnye Chelny
Волгоград,Volgograd
Чистополь,Chistopol
Нижний Новгород,Nizhny Novgorod
Пермь,Permian
Оренбург,Orenburg
Ханты-Мансийск,Khanty-Mansiysk
Заводоуковск,Zavodoukovsk
Туймазы,Tuymazy
Казань,Kazan
Краснодар,Krasnodar
Новосибирск,Novosibirsk
Москаленки,Moskalenki
Белгород,Belgorod
Бердск,Berdsk
Магнитогорск,Magnitogorsk
Воронеж,Voronezh
Тольятти,Tolyatti
Новокузнецк,Novokuznetsk
Саратов,Saratov
Аксай,Aksai
Армавир,Armavir
Владимир,Vladimir
Гвардейск,Gvardeysk
Челябинск,Chelyabinsk
Пойковский,Poikovsky
Красноярск,Krasnoyarsk
Сочи,Sochi
Шахты,Mines
Стерлитамак,Sterlitamak
Ярославль,Yaroslavl
Ростов,Rostov
Зеленодольск,Zelenodolsk
Калининград,Kaliningrad
Нижневартовск,Nizhnevartovsk
Нижнекамск,Nizhnekamsk
Муром,Murom
Тюмень,Tyumen
Канск,Kansk
Ижевск,Izhevsk
Энгельс,Engels
Бийск,Biysk
Братск,Bratsk
Иркутск,Irkutsk
Сургут,Surgut
Омск,Omsk
Петровская,Petrovskaya
Минусинск,Minusinsk
Каневская,Kanevskaya
Волжский,Volzhsky
Уфа,Ufa
Минеральные Воды,Mineral water
Юрга,Yurga
Гусев,Gusev
Калач-на-Дону,Kalach-na-Donu
Ачинск,Achinsk
Краснокамск,Krasnokamsk
Арамиль,Aramil
Нефтеюганск,Nefteyugansk
Ковров,Kovrov
Сосновское,Sosnovskoe
Дивное,Wonderful
Троицк,Troitsk
Альметьевск,Almetyevsk
Кимовск,Kimovsk
Тайшет,Taishet
Ильский,Icelandic
Миллерово,Millerovo
Давыдовка,Davydovka
Гуково,Gukovo
Кумылженская,Kumylzhenskaya
Октябрьское,The October
Грайворон,Graivoron
Барнаул,Barnaul
Мегион,Megion
Рубцовск,Rubtsovsk
Первоуральск,Pervouralsk
Глазов,Glazov
Искитим,Iskitim
Тула,Tula
Константиновское,Konstantinovsky
Славянск-на-Кубани,Slavyansk-on-Kuban
Салават,Salavat
Нижний Тагил,Nizhny Tagil
Михайловка,Mikhailovka
Кемерово,Kemerovo
Каменск-Шахтинский,Kamensk-Shakhtinsky
Азнакаево,Aznakaevo
Верхняя Пышма,Upper Pyshma
Березовский,Berezovsky
Новороссийск,Novorossiysk
Кисловодск,Kislovodsk
Марьяновка,Marjanovka
Кунгур,Kungur
Новочеркасск,Novocherkassk
Арзамас,Arzamas
Старый Оскол,Stary Oskol
Каменск-Уральский,Kamensk-Uralsky
Ессентуки,Yessentuki
Рыбинск,Rybinsk
Березники,Berezniki
Балаково,Balakovo
Кропоткин,Kropotkin
Похвистнево,Pohvistnevo
Дзержинск,Dzerzhinsk
Серов,Serov
Переславль-Залесский,Pereslavl-Zalessky
Камышин,Kamyshin
Верхний Уфалей,Upper Ufaley
Гусь-Хрустальный,Goose-crystal
Советск,Sovetsk
Губкин,Gubkin
Георгиевск,Georgievsk
Богородск,Bogorodsk
Володарск,Volodarsk
Целина,Celina
Невьянск,Nevyansk
Сызрань,Sizran
Горячий Ключ,Hot key
Усть-Илимск,Ust-Ilimsk
Геленджик,Gelendzhik
Донское,The Don
Анапа,Anapa
Мелеуз,Meleuz
Бузулук,Buzuluk
Ставрополь,Stavropol
Копейск,Kopeisk
Тбилисская,Tbilisi
Абинск,Abinsk
Кореновск,Korenovsk
Новомосковск,Novomoskovsk
Златоуст,Zlatoust
Карталы,Kartaly
Азов,Azov
Ангарск,Angarsk
Новоалтайск,Novoaltaysk
Богатое,Rich
Козулька,Kozulka
Бугульма,Bugulma
Котово,Kotovo
Бисерть,Beads
Якшур-Бодья,Yakshur-Bodja
Дюртюли,Dyurtyuli
Таганрог,Taganrog
Норильск,Norilsk
Соликамск,Solikamsk
Суворовская,Suvorovskaya
Тобольск,Tobolsk
Воткинск,Votkinsk
Новотроицк,Novotroitsk
Суксун,Suksun
Семенов,Semenov
Полазна,Polazna
Анжеро-Судженск,Anzhero-Sudzhensk
Шелехов,Shelekhov
Волгодонск,Volgodonsk
Нефтекамск,Neftekamsk
Чебаркуль,Chebarkul
Летняя Ставка,Summer Rate
Строитель,Builder
Невинномысск,Nevinnomyssk
Углич,Uglich
Железногорск,Zheleznogorsk
Миасс,Miass
Кущевская,Kuschevskaya
Тоцкое,Totsky
Маркс,Marx
Алексин,Aleksin
Красный Сулин,Red Sulin
Елабуга,Elabuga
Кстово,Kstovo
Изобильный,Abundant
Варениковская,Varenikovskaya
Октябрьский,October
Чекмагуш,Chekmagush
Выкса,Vyksa
Городец,Gorodets
Новокуйбышевск,Novokuibyshevsk
Талнах,Talnakh
Валуйки,Valuiki
Катав-Ивановск,Katav-Ivanovsk
Асбест,Asbestos
Бор,Bor
Белокуриха,Belokurikha
Губаха,Gubaha
Монетный,Monetary
Ишимбай,Ishimbay
Гороховец,Gorokhovets
Мыски,Myski
Ишим,Ishim
Павловская,Pavlovskaya
Чапаевск,Chapayevsk
Урай,Urai
Иноземцево кп,Inozemtsevo
Пятигорск,Pyatigorsk
Калачинск,Kalachinsk
Карасук,Karasuk
Архипо-Осиповка,Arkhipo-Osipovka
Прокопьевск,Prokopyevsk
Темрюк,Temryuk
Егорлыкская,Egorlykskaya
Озерск,Ozersk
Ейск,Yeysk
Жирнов,Zhirnov
Гурьевск,Gurievsk
Петушки,Petushki
Щекино,Shchekino
Сухобузимское,Suhobuzimskoye
Черноморский,Black Sea
Игра,A game
Сорочинск,Sorochinsk
Вольск,Volsk
Курумоч,Kurumoch
Тихорецк,Tikhoretsk
Павлово,Pavlovo
Грушевская,Grushevskaya
Белово,Belovo
Лениногорск,Leninogorsk
Шебекино,Shebekino
Белая Калитва,White Kalitva
Рощинский,Roshchinsky
Усолье-Сибирское,Usolye-Siberian
Борисоглебск,Borisoglebsk
Саянск,Sayansk
Гулькевичи,Gulkevichi
Сосновоборск,Sosnovoborsk
Балашов,Balashov
